Length(mm) ,Width(mm),Freq (GHz),S11(dB)
1.773,2.3064,44.46,-22.458691
1.772,2.3053,44.47,-22.46198
1.771,2.3042,44.48,-22.465269
1.77,2.3031,44.49,-22.468558
1.769,2.302,44.5,-22.471847
1.768,2.3008,44.51,-22.475136
1.767,2.2997,44.52,-22.478425
1.766,2.2986,44.53,-22.481714
1.765,2.2975,44.54,-22.485003
1.764,2.2963,44.55,-22.488292
1.763,2.2952,44.56,-22.491581
1.762,2.2941,44.57,-22.49487
1.761,2.293,44.58,-22.498159
1.76,2.2919,44.59,-22.501448
1.759,2.2907,44.6,-22.504737
1.758,2.2896,44.61,-22.508026
1.757,2.2885,44.62,-22.511315
1.756,2.2874,44.63,-22.514604
1.755,2.2862,44.64,-22.517893
1.754,2.2851,44.65,-22.521182
1.753,2.284,44.66,-22.524471
1.752,2.2829,44.67,-22.52776
1.751,2.2818,44.68,-22.531049
1.75,2.2806,44.69,-22.534338
1.749,2.2795,44.7,-22.537627
1.748,2.2784,44.71,-22.540916
1.747,2.2773,44.72,-22.544205
1.746,2.2761,44.73,-22.547494
1.745,2.275,44.74,-22.550783
1.744,2.2739,44.75,-22.554072
1.744,2.2728,44.76,-22.557361
1.743,2.2717,44.77,-22.56065
1.742,2.2705,44.78,-22.563939
1.741,2.2694,44.79,-22.567228
1.74,2.2683,44.8,-22.570517
1.739,2.2672,44.81,-22.573806
1.738,2.266,44.82,-22.577095
1.737,2.2649,44.83,-22.580384
1.736,2.2638,44.84,-22.583673
1.735,2.2627,44.85,-22.586962
1.734,2.2615,44.86,-22.590251
1.733,2.2604,44.87,-22.59354
1.732,2.2593,44.88,-22.596829
1.731,2.2582,44.89,-22.600118
1.73,2.2571,44.9,-22.603407
1.729,2.2559,44.91,-22.606696
1.728,2.2548,44.92,-22.609985
1.727,2.2537,44.93,-22.613274
1.726,2.2526,44.94,-22.616563
1.725,2.2514,44.95,-22.619852
1.724,2.2503,44.96,-22.623141
1.723,2.2492,44.97,-22.62643
1.722,2.2481,44.98,-22.629719
1.721,2.247,44.99,-22.633008
1.72,2.2458,45,-22.636297
